problem_id,system,seed,condition,true_formula,predicted_formula,exact,skeleton,symbolic_equivalent,ted_raw,ted_skeleton,exact_as_recorded,ted_raw_as_recorded,fit_error,complexity,valid,failure_reason,search_nodes,candidate_count,wall_time
phase3_WC_s101_ndformer_mcts,Wilson_Cowan,101,ndformer_mcts,(aggr(sour(sigmoid(((5.1000*x)-5.1000))))-x),((0.0007-x)+(1.0015*aggr(sigmoid(sour((8.1096-((-3.8503+x)**2))))))),0.0,0.0,0.0,17.0,15.0,0.0,12.0,0.010474431878446452,15,True,,1442,7010,301.7973635196686
phase3_WC_s101_unguided_mcts,Wilson_Cowan,101,unguided_mcts,(aggr(sour(sigmoid(((5.1000*x)-5.1000))))-x),"abs((((1/abs((((1/2)/(-((aggr(cos(sigmoid((1/(regular(sqrtabs((targ(((1/2)**x))**0.1828)), 4)**5)))))/x)-(1/5))))-0.6697)))+(1/5))**3))",0.0,0.0,0.0,27.0,25.0,0.0,25.0,0.4635108382474518,30,True,,3296,22415,300.0501265525818
phase3_GR_s101_ndformer_mcts,gene_regulatory,101,ndformer_mcts,"((0.2000+(2.0000*aggr(sour(regular((0.6667*x), 2)))))-(0.9000*x))","((x*-0.9021)+(2.0230*aggr(regular(sour((x/1.4850)), 1.9677))))",0.0,0.0,0.0,15.0,12.0,0.0,14.0,0.05510314198752579,13,True,,1370,5542,300.46654415130615
phase3_GR_s101_unguided_mcts,gene_regulatory,101,unguided_mcts,"((0.2000+(2.0000*aggr(sour(regular((0.6667*x), 2)))))-(0.9000*x))","abs(abs((aggr((4**(11.3390*cos((1/(regular(tan((regular((1/2), (targ(logabs((1.3404-regular(abs(x), 4))))-5))/1.3299)), 3)+(1/5)))))))+(1/5))))",0.0,0.0,0.0,31.0,28.0,0.0,29.0,3.2471477930409742,30,True,,1969,13024,301.9232437610626
phase3_MM_s101_ndformer_mcts,Michaelis_Menten,101,ndformer_mcts,"(aggr(sour(regular(x, 2)))-x)","((-1.0000*x)+(1.0000*aggr(sour(regular(x, 2)))))",1.0,1.0,1.0,0.0,0.0,0.0,7.0,1.9999617775477722e-08,11,True,,778,3552,128.17641353607178
phase3_MM_s101_unguided_mcts,Michaelis_Menten,101,unguided_mcts,"(aggr(sour(regular(x, 2)))-x)","((1/5)+(aggr(cos(regular((-sqrtabs(cos((-regular(logabs((sigmoid(sigmoid(((((sour(tanh((1/x)))*1)**(1/3))**(1/5))**2)))**5)), 2))))), 2)))-x))",0.0,0.0,0.0,22.0,22.0,0.0,24.0,0.31510438316589223,30,True,,3624,24508,300.05393409729004
phase3_LV_s101_ndformer_mcts,Lotka_Volterra,101,ndformer_mcts,((x*(alpha-(theta*x)))-aggr((sour(x)*targ(x)))),(((((((1.1371*alpha)+(0.0310*theta))+x)-alpha)-(0.3566*aggr(targ(x))))-(0.6916*x))-(0.7377*(sin(alpha)-(alpha**2)))),0.0,0.0,0.0,26.0,26.0,0.0,23.0,0.07046940138474181,29,True,,792,7163,300.146507024765
phase3_LV_s101_unguided_mcts,Lotka_Volterra,101,unguided_mcts,((x*(alpha-(theta*x)))-aggr((sour(x)*targ(x)))),aggr(targ((-0.2312/(1/x)))),0.0,0.0,0.0,15.0,15.0,0.0,13.0,0.12984180858743335,6,True,,5587,39379,300.3392963409424
phase3_MP_s101_ndformer_mcts,mutualistic_population,101,ndformer_mcts,"((x*(alpha-(theta*x)))+aggr((sour(regular(x, 2))*targ(x))))",(((-4.2793*x)*(-0.0895-sin((-theta))))+(8.1084*aggr(sour(sigmoid((aggr(targ(alpha))/(-2.7594*x))))))),0.0,0.0,0.0,17.0,17.0,0.0,19.0,3.5621866532237774,22,True,,2103,17336,300.18026971817017
phase3_MP_s101_unguided_mcts,mutualistic_population,101,unguided_mcts,"((x*(alpha-(theta*x)))+aggr((sour(regular(x, 2))*targ(x))))",((0.3443+aggr(sour(((abs(x)**3)*-0.0000))))/(1/aggr((sour((alpha/(1/4)))**2)))),0.0,0.0,0.0,18.0,17.0,0.0,19.0,4.443938645002616,17,True,,5390,38735,300.40551233291626
phase3_SIS_s101_ndformer_mcts,susceptible_infected_susceptible,101,ndformer_mcts,(aggr(((1-targ(x))*sour(x)))-(delta*x)),(((-0.7972*x)*delta)+(0.4959*aggr((sour((x/x))-targ(x))))),0.0,0.0,0.0,10.0,9.0,0.0,10.0,0.18144828546321207,16,True,,2962,16270,301.4583959579468
phase3_SIS_s101_unguided_mcts,susceptible_infected_susceptible,101,unguided_mcts,(aggr(((1-targ(x))*sour(x)))-(delta*x)),(41.9031+(sigmoid((2-delta))-abs((-(10.7342/(-logabs(tanh((-(tan(sigmoid((x-4)))+1)))))))))),0.0,0.0,0.0,22.0,21.0,0.0,23.0,0.49223614354608297,22,True,,3733,26384,300.4911000728607
phase3_KUR_s202_ndformer_mcts,Kuramoto,202,ndformer_mcts,(omega0+(1.0000*aggr(sin((sour(x)-targ(x)))))),((omega0+-0.0000)+(1.0000*aggr(sin((sour(x)-targ(x)))))),1.0,1.0,1.0,0.0,0.0,0.0,5.0,9.015745598500768e-07,13,True,,1754,9163,196.87904262542725
phase3_CR_s202_ndformer_mcts,coupled_Rossler,202,ndformer_mcts,((0.5000*aggr(sin((sour(x)-targ(x)))))-(z+(omega*y))),(-((((0.0235*x)-(y*omega))+(-z))*-0.7245)),0.0,0.0,0.0,16.0,15.0,0.0,15.0,1.4975417143390832,13,True,,901,8967,302.0001049041748
phase3_HCR_s202_ndformer_mcts,homogeneous_coupled_Rossler,202,ndformer_mcts,((0.5000*aggr(sin((sour(x)-targ(x)))))-(y+z)),((((-0.5259*y)+(-0.9319*z))-(0.0490*x))+(-0.0087*(y**3))),0.0,0.0,0.0,18.0,18.0,0.0,17.0,1.4881769165835788,16,True,,2435,16302,301.64833903312683
phase3_FHN_s202_ndformer_mcts,FitzHugh_Nagumo,202,ndformer_mcts,(x-((y+(x**3))+(aggr((sour(x)-targ(x)))/aggr(1)))),(((4.8078*sin(x))-(y*0.6805))-(3.4839*x)),0.0,0.0,0.0,18.0,18.0,0.0,16.0,0.5137811811858776,12,True,,3085,16071,301.6263494491577
phase3_WC_s202_ndformer_mcts,Wilson_Cowan,202,ndformer_mcts,(aggr(sour(sigmoid(((5.1000*x)-5.1000))))-x),((x*-0.9992)+(0.9991*aggr(sour(sigmoid((-0.9613+(x**3))))))),0.0,0.0,0.0,12.0,11.0,0.0,12.0,0.01684496060497604,13,True,,1951,8450,302.7585701942444
phase3_GR_s202_ndformer_mcts,gene_regulatory,202,ndformer_mcts,"((0.2000+(2.0000*aggr(sour(regular((0.6667*x), 2)))))-(0.9000*x))",((0.3093-x)+(4.5180*aggr(sour(sigmoid((-1.8000/x)))))),0.0,0.0,0.0,14.0,11.0,0.0,10.0,0.14080961301239556,12,True,,1455,6055,300.8299205303192
phase3_MM_s202_ndformer_mcts,Michaelis_Menten,202,ndformer_mcts,"(aggr(sour(regular(x, 2)))-x)","((-0.0058-x)+(1.0065*aggr(sour(regular(x, 1.9459)))))",0.0,0.0,0.0,9.0,8.0,0.0,6.0,0.0014329848054825775,11,True,,1335,6285,304.62573742866516
phase3_LV_s202_ndformer_mcts,Lotka_Volterra,202,ndformer_mcts,((x*(alpha-(theta*x)))-aggr((sour(x)*targ(x)))),(x*(sin(alpha)-(sin((((alpha*theta)**2)+0.3509))*aggr(sour(((-(x+sigmoid(alpha)))**2)))))),0.0,0.0,0.0,22.0,22.0,0.0,21.0,0.09998527111303698,21,True,,1788,14823,301.16212725639343
phase3_MP_s202_ndformer_mcts,mutualistic_population,202,ndformer_mcts,"((x*(alpha-(theta*x)))+aggr((sour(regular(x, 2))*targ(x))))",(((0.0446*x)-(-5.8091*alpha))+(-2.3585*aggr(sour(sin((theta*(-0.7327*x))))))),0.0,0.0,0.0,19.0,18.0,0.0,17.0,4.2255264231640295,18,True,,1571,13955,302.24677181243896
phase3_SIS_s202_ndformer_mcts,susceptible_infected_susceptible,202,ndformer_mcts,(aggr(((1-targ(x))*sour(x)))-(delta*x)),((((8.4425*sigmoid(x))-(0.5349*delta))-(7.3123*x))-(-0.2356*aggr(sour((x**3))))),0.0,0.0,0.0,16.0,15.0,0.0,16.0,0.2598210480389997,19,True,,4564,22074,300.962464094162
phase3_KUR_s303_ndformer_mcts,Kuramoto,303,ndformer_mcts,(omega0+(1.0000*aggr(sin((sour(x)-targ(x)))))),((1.0000*omega0)+(1.0000*aggr(sin((sour(x)-targ(x)))))),1.0,1.0,1.0,0.0,0.0,0.0,3.0,7.774485126284624e-08,13,True,,931,5036,123.41852736473083
phase3_CR_s303_ndformer_mcts,coupled_Rossler,303,ndformer_mcts,((0.5000*aggr(sin((sour(x)-targ(x)))))-(z+(omega*y))),(((-0.6543*y)*omega)-z),0.0,0.0,0.0,14.0,13.0,0.0,12.0,1.4807287272087737,7,True,,991,9779,302.40418219566345
phase3_HCR_s303_ndformer_mcts,homogeneous_coupled_Rossler,303,ndformer_mcts,((0.5000*aggr(sin((sour(x)-targ(x)))))-(y+z)),(((-0.7387*y)+(0.4177*sin(x)))-z),0.0,0.0,0.0,13.0,12.0,0.0,12.0,1.5293851623505903,10,True,,2240,15243,302.0046372413635
phase3_FHN_s303_ndformer_mcts,FitzHugh_Nagumo,303,ndformer_mcts,(x-((y+(x**3))+(aggr((sour(x)-targ(x)))/aggr(1)))),(((x-y)-(x**3))+(-0.1111*aggr((sour(x)-targ(x))))),0.0,0.0,0.0,13.0,13.0,0.0,14.0,3.2968029785536926e-08,15,True,,830,5210,81.26220107078552
phase3_WC_s303_ndformer_mcts,Wilson_Cowan,303,ndformer_mcts,(aggr(sour(sigmoid(((5.1000*x)-5.1000))))-x),"(((-x)*1.0018)+(1.0032*aggr(sour(regular(((x**2)**2), 1.5693)))))",0.0,0.0,0.0,15.0,13.0,0.0,14.0,0.003986278108318535,14,True,,2130,9520,301.80797266960144
phase3_GR_s303_ndformer_mcts,gene_regulatory,303,ndformer_mcts,"((0.2000+(2.0000*aggr(sour(regular((0.6667*x), 2)))))-(0.9000*x))",((0.3501-x)+(1.9495*aggr(sour((2.3124*sigmoid((-2.3907/(1.3249*x)))))))),0.0,0.0,0.0,17.0,14.0,0.0,13.0,0.13661053277622157,16,True,,1170,5091,300.50366282463074
phase3_MM_s303_ndformer_mcts,Michaelis_Menten,303,ndformer_mcts,"(aggr(sour(regular(x, 2)))-x)","((-1.0000*x)+(0.0000+aggr(sour(regular(x, 2.0000)))))",1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.794357668071651e-06,11,True,,852,3813,128.8264524936676
phase3_LV_s303_ndformer_mcts,Lotka_Volterra,303,ndformer_mcts,((x*(alpha-(theta*x)))-aggr((sour(x)*targ(x)))),((((((alpha-sin(x))+x)+(-1.9617*alpha))-(0.3259*aggr(targ(x))))+(0.9154*alpha))+(0.2388*theta)),0.0,0.0,0.0,19.0,19.0,0.0,19.0,0.04188185260359536,24,True,,1248,11471,301.0426857471466
phase3_MP_s303_ndformer_mcts,mutualistic_population,303,ndformer_mcts,"((x*(alpha-(theta*x)))+aggr((sour(regular(x, 2))*targ(x))))",((sin(theta)+(x*((-4.4216*theta)--2.8492)))+(alpha+((theta-(x**2))*0.0525))),0.0,0.0,0.0,18.0,18.0,0.0,15.0,6.7215798822555355,19,True,,2581,19295,300.3108003139496
phase3_SIS_s303_ndformer_mcts,susceptible_infected_susceptible,303,ndformer_mcts,(aggr(((1-targ(x))*sour(x)))-(delta*x)),((x*-2.8985)+(5.7352*sin(tan(sigmoid((delta*-0.2348)))))),0.0,0.0,0.0,14.0,13.0,0.0,14.0,0.31532457303532613,12,True,,4312,21452,300.09665083885193
